,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
149,2023-08-08 04:00:00,245.22382573766131,222.76967020223455,280.40779971297314,245.22382573766131,245.22382573766131,4.959595767021209,4.959595767021209,4.959595767021209,4.959595767021209,4.959595767021209,4.959595767021209,0.0,0.0,0.0,250.1834215046825
150,2023-08-09 04:00:00,245.21798878747563,218.07096234938638,279.1011403611225,245.21798878747563,245.21798878747563,3.9456561407350246,3.9456561407350246,3.9456561407350246,3.9456561407350246,3.9456561407350246,3.9456561407350246,0.0,0.0,0.0,249.16364492821066
151,2023-08-10 04:00:00,245.21215183728995,219.9123200622816,275.340199032426,245.21215183728995,245.21215183728995,3.5533370704047518,3.5533370704047518,3.5533370704047518,3.5533370704047518,3.5533370704047518,3.5533370704047518,0.0,0.0,0.0,248.7654889076947
152,2023-08-11 04:00:00,245.1393218987406,217.11715715638317,275.5111166584445,245.1393218987406,245.1393218987406,3.207042272467298,3.207042272467298,3.207042272467298,3.207042272467298,3.207042272467298,3.207042272467298,0.0,0.0,0.0,248.3463641712079
153,2023-08-14 04:00:00,244.92083208309262,216.28320546492785,277.0609289212451,244.92083208309262,244.92083208309262,2.5070490868224278,2.5070490868224278,2.5070490868224278,2.5070490868224278,2.5070490868224278,2.5070490868224278,0.0,0.0,0.0,247.42788116991505
154,2023-08-15 04:00:00,244.84800214454324,218.2983057742671,277.68375834032366,244.84800214454324,244.84800214454324,4.959595766949829,4.959595766949829,4.959595766949829,4.959595766949829,4.959595766949829,4.959595766949829,0.0,0.0,0.0,249.80759791149308
155,2023-08-16 04:00:00,244.7751722059939,219.125912100672,279.5579055992343,244.7751722059939,244.7751722059939,3.945656140809943,3.945656140809943,3.945656140809943,3.945656140809943,3.945656140809943,3.945656140809943,0.0,0.0,0.0,248.72082834680384
156,2023-08-17 04:00:00,244.70234226744458,218.67134252377141,278.39129687305183,244.70234226744458,244.70234226744458,3.5533370705433525,3.5533370705433525,3.5533370705433525,3.5533370705433525,3.5533370705433525,3.5533370705433525,0.0,0.0,0.0,248.25567933798794
157,2023-08-18 04:00:00,244.62951232889523,218.22549136683958,278.1359635077854,244.62951232889523,244.62951232889523,3.207042272457652,3.207042272457652,3.207042272457652,3.207042272457652,3.207042272457652,3.207042272457652,0.0,0.0,0.0,247.83655460135287
158,2023-08-21 04:00:00,244.41102251324725,216.10325578908999,277.32487273474914,244.41102251324725,244.41102251324725,2.5070490868939537,2.5070490868939537,2.5070490868939537,2.5070490868939537,2.5070490868939537,2.5070490868939537,0.0,0.0,0.0,246.9180716001412
159,2023-08-22 04:00:00,244.33819257469787,216.80373320003275,278.3582274408296,244.33819257469787,244.33819257469787,4.959595766977427,4.959595766977427,4.959595766977427,4.959595766977427,4.959595766977427,4.959595766977427,0.0,0.0,0.0,249.2977883416753
160,2023-08-23 04:00:00,244.2653626135718,217.59744537811795,276.32066200917353,244.2653626135718,244.2653626135718,3.945656140884863,3.945656140884863,3.945656140884863,3.945656140884863,3.945656140884863,3.945656140884863,0.0,0.0,0.0,248.21101875445666
161,2023-08-24 04:00:00,244.19253265244572,218.66438079680816,277.823638457893,244.19253265244572,244.19253265244572,3.553337070423201,3.553337070423201,3.553337070423201,3.553337070423201,3.553337070423201,3.553337070423201,0.0,0.0,0.0,247.74586972286892
162,2023-08-25 04:00:00,244.11970269131962,217.31802648302718,276.35864608384827,244.11970269131962,244.11970269131962,3.2070422724480103,3.2070422724480103,3.2070422724480103,3.2070422724480103,3.2070422724480103,3.2070422724480103,0.0,0.0,0.0,247.32674496376762
163,2023-08-28 04:00:00,243.90121280794136,216.7652043790669,275.2799801594173,243.90121280794136,243.90121280794136,2.5070490868362607,2.5070490868362607,2.5070490868362607,2.5070490868362607,2.5070490868362607,2.5070490868362607,0.0,0.0,0.0,246.4082618947776
164,2023-08-29 04:00:00,243.8283828468153,220.72308868160542,279.91287957774625,243.8283828468153,243.8283828468153,4.9595957670050215,4.9595957670050215,4.9595957670050215,4.9595957670050215,4.9595957670050215,4.9595957670050215,0.0,0.0,0.0,248.78797861382031
165,2023-08-30 04:00:00,243.75555288568918,217.63919170724492,278.3804923239951,243.75555288568918,243.75555288568918,3.945656140732298,3.945656140732298,3.945656140732298,3.945656140732298,3.945656140732298,3.945656140732298,0.0,0.0,0.0,247.70120902642148
166,2023-08-31 04:00:00,243.68272292456308,218.5990151544364,275.54381846675,243.68272292456308,243.68272292456308,3.5533370704558243,3.5533370704558243,3.5533370704558243,3.5533370704558243,3.5533370704558243,3.5533370704558243,0.0,0.0,0.0,247.2360599950189
167,2023-09-01 04:00:00,243.609892963437,218.59509814610584,275.4752160368399,243.609892963437,243.609892963437,3.2070422725155914,3.2070422725155914,3.2070422725155914,3.2070422725155914,3.2070422725155914,3.2070422725155914,0.0,0.0,0.0,246.8169352359526
168,2023-09-05 04:00:00,243.3185729697047,219.56533118215575,278.72350352297656,243.3185729697047,243.3185729697047,4.9595957671037,4.9595957671037,4.9595957671037,4.9595957671037,4.9595957671037,4.9595957671037,0.0,0.0,0.0,248.2781687368084
169,2023-09-06 04:00:00,243.24574297127162,215.85698123627802,275.8757472711573,243.24574297127162,243.24574297127162,3.945656140807218,3.945656140807218,3.945656140807218,3.945656140807218,3.945656140807218,3.945656140807218,0.0,0.0,0.0,247.19139911207884
170,2023-09-07 04:00:00,243.1729129728386,215.2792804189844,273.6294443633686,243.1729129728386,243.1729129728386,3.5533370703824656,3.5533370703824656,3.5533370703824656,3.5533370703824656,3.5533370703824656,3.5533370703824656,0.0,0.0,0.0,246.72625004322106
171,2023-09-08 04:00:00,243.1000829744055,215.5084153204928,274.9838348823708,243.1000829744055,243.1000829744055,3.207042272428722,3.207042272428722,3.207042272428722,3.207042272428722,3.207042272428722,3.207042272428722,0.0,0.0,0.0,246.3071252468342
172,2023-09-11 04:00:00,242.88159297910627,213.46629445034293,272.3478210294675,242.88159297910627,242.88159297910627,2.507049086795609,2.507049086795609,2.507049086795609,2.507049086795609,2.507049086795609,2.507049086795609,0.0,0.0,0.0,245.38864206590188
173,2023-09-12 04:00:00,242.80876298067324,219.0198635308958,276.2553303922707,242.80876298067324,242.80876298067324,4.959595767032317,4.959595767032317,4.959595767032317,4.959595767032317,4.959595767032317,4.959595767032317,0.0,0.0,0.0,247.76835874770555
174,2023-09-13 04:00:00,242.73593298224017,214.72383654310448,277.0204304629337,242.73593298224017,242.73593298224017,3.945656140768394,3.945656140768394,3.945656140768394,3.945656140768394,3.945656140768394,3.945656140768394,0.0,0.0,0.0,246.68158912300856
